n,block_size,iteration,kernel_ms,total_ms,correct
4096,128,25,0.004256,0.022912,PASS
4096,128,26,0.005664,0.022304,PASS
4096,128,27,0.005824,0.022816,PASS
4096,128,28,0.005824,0.024352,PASS
4096,128,29,0.004448,0.024673,PASS
4096,128,30,0.005856,0.022464,PASS
4096,128,31,0.006048,0.023968,PASS
4096,128,32,0.00608,0.023872,PASS
4096,128,33,0.005824,0.024128,PASS
4096,128,34,0.004384,0.024768,PASS
4096,128,35,0.005536,0.025473,PASS
4096,128,36,0.005696,0.023328,PASS
4096,128,37,0.005632,0.025696,PASS
4096,128,38,0.004384,0.024672,PASS
4096,128,39,0.005504,0.024512,PASS
4096,128,40,0.004256,0.023585,PASS
4096,128,41,0.005856,0.024352,PASS
4096,128,42,0.005856,0.023744,PASS
4096,128,43,0.005504,0.023776,PASS
4096,128,44,0.005696,0.026208,PASS
4096,128,45,0.005856,0.023873,PASS
4096,128,46,0.004288,0.024224,PASS
4096,128,47,0.005824,0.02448,PASS
4096,128,48,0.005568,0.023648,PASS
4096,128,49,0.005664,0.02336,PASS
4096,128,50,0.005888,0.025793,PASS
4096,128,51,0.005536,0.024416,PASS
4096,128,52,0.005472,0.026368,PASS
4096,128,53,0.004416,0.024896,PASS
4096,128,54,0.005632,0.0256,PASS
4096,128,55,0.012192,0.024769,PASS
4096,128,56,0.005472,0.025344,PASS
4096,128,57,0.006048,0.025472,PASS
4096,128,58,0.005632,0.024768,PASS
4096,128,59,0.005792,0.025376,PASS
4096,128,60,0.005696,0.025505,PASS
