n,block_size,iteration,kernel_ms,total_ms,correct
4096,128,28,0.005632,0.024608,PASS
4096,128,29,0.005984,0.023617,PASS
4096,128,30,0.005856,0.024128,PASS
4096,128,31,0.006112,0.030912,PASS
4096,128,32,0.004128,0.0264,PASS
4096,128,33,0.005888,0.02464,PASS
4096,128,34,0.00608,0.024929,PASS
4096,128,35,0.005856,0.024096,PASS
4096,128,36,0.00432,0.0248,PASS
4096,128,37,0.00576,0.02544,PASS
4096,128,38,0.006016,0.025472,PASS
4096,128,39,0.006016,0.026497,PASS
4096,128,40,0.006112,0.02592,PASS
4096,128,41,0.004256,0.024512,PASS
4096,128,42,0.005952,0.024192,PASS
4096,128,43,0.006048,0.025824,PASS
4096,128,44,0.006112,0.024513,PASS
4096,128,45,0.00592,0.02464,PASS
4096,128,46,0.00576,0.024288,PASS
4096,128,47,0.006336,0.02352,PASS
4096,128,48,0.004288,0.023232,PASS
4096,128,49,0.005664,0.023936,PASS
4096,128,50,0.004224,0.025633,PASS
4096,128,51,0.00416,0.024864,PASS
4096,128,52,0.005568,0.024352,PASS
4096,128,53,0.00592,0.024416,PASS
4096,128,54,0.006112,0.02432,PASS
4096,128,55,0.005568,0.023489,PASS
4096,128,56,0.00448,0.025696,PASS
4096,128,57,0.005536,0.024768,PASS
4096,128,58,0.00608,0.02432,PASS
4096,128,59,0.005824,0.024672,PASS
